78 6144 12288 2048 64 1 576 512
output.weight 8 6144 154880 1 1
output_norm.weight 0 6144 1 1 1
token_embd.weight 8 6144 154880 1 1
blk.0.attn_k_b.weight 8 192 512 64 1
blk.0.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.0.attn_kv_a_norm.weight 0 512 1 1 1
blk.0.attn_norm.weight 0 6144 1 1 1
blk.0.attn_output.weight 8 16384 6144 1 1
blk.0.attn_q_a.weight 8 6144 2048 1 1
blk.0.attn_q_a_norm.weight 0 2048 1 1 1
blk.0.attn_q_b.weight 8 2048 16384 1 1
blk.0.attn_v_b.weight 8 512 256 64 1
blk.0.ffn_down.weight 8 12288 6144 1 1
blk.0.ffn_gate.weight 8 6144 12288 1 1
blk.0.ffn_norm.weight 0 6144 1 1 1
blk.0.ffn_up.weight 8 6144 12288 1 1
blk.0.indexer.attn_k.weight 8 6144 128 1 1
blk.0.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.0.indexer.k_norm.bias 0 128 1 1 1
blk.0.indexer.k_norm.weight 0 128 1 1 1
blk.0.indexer.proj.weight 0 6144 32 1 1
blk.1.attn_k_b.weight 8 192 512 64 1
blk.1.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.1.attn_kv_a_norm.weight 0 512 1 1 1
blk.1.attn_norm.weight 0 6144 1 1 1
blk.1.attn_output.weight 8 16384 6144 1 1
blk.1.attn_q_a.weight 8 6144 2048 1 1
blk.1.attn_q_a_norm.weight 0 2048 1 1 1
blk.1.attn_q_b.weight 8 2048 16384 1 1
blk.1.attn_v_b.weight 8 512 256 64 1
blk.1.ffn_down.weight 8 12288 6144 1 1
blk.1.ffn_gate.weight 8 6144 12288 1 1
blk.1.ffn_norm.weight 0 6144 1 1 1
blk.1.ffn_up.weight 8 6144 12288 1 1
blk.1.indexer.attn_k.weight 8 6144 128 1 1
blk.1.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.1.indexer.k_norm.bias 0 128 1 1 1
blk.1.indexer.k_norm.weight 0 128 1 1 1
blk.1.indexer.proj.weight 0 6144 32 1 1
blk.2.attn_k_b.weight 8 192 512 64 1
blk.2.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.2.attn_kv_a_norm.weight 0 512 1 1 1
blk.2.attn_norm.weight 0 6144 1 1 1
blk.2.attn_output.weight 8 16384 6144 1 1
blk.2.attn_q_a.weight 8 6144 2048 1 1
blk.2.attn_q_a_norm.weight 0 2048 1 1 1
blk.2.attn_q_b.weight 8 2048 16384 1 1
blk.2.attn_v_b.weight 8 512 256 64 1
blk.2.ffn_down.weight 8 12288 6144 1 1
blk.2.ffn_gate.weight 8 6144 12288 1 1
blk.2.ffn_norm.weight 0 6144 1 1 1
blk.2.ffn_up.weight 8 6144 12288 1 1
blk.2.indexer.attn_k.weight 8 6144 128 1 1
blk.2.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.2.indexer.k_norm.bias 0 128 1 1 1
blk.2.indexer.k_norm.weight 0 128 1 1 1
blk.2.indexer.proj.weight 0 6144 32 1 1
blk.3.attn_k_b.weight 8 192 512 64 1
blk.3.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.3.attn_kv_a_norm.weight 0 512 1 1 1
blk.3.attn_norm.weight 0 6144 1 1 1
blk.3.attn_output.weight 8 16384 6144 1 1
blk.3.attn_q_a.weight 8 6144 2048 1 1
blk.3.attn_q_a_norm.weight 0 2048 1 1 1
blk.3.attn_q_b.weight 8 2048 16384 1 1
blk.3.attn_v_b.weight 8 512 256 64 1
blk.3.exp_probs_b.bias 0 256 1 1 1
blk.3.ffn_down_exps.weight 13 2048 6144 256 1
blk.3.ffn_down_shexp.weight 8 2048 6144 1 1
blk.3.ffn_gate_exps.weight 12 6144 2048 256 1
blk.3.ffn_gate_inp.weight 0 6144 256 1 1
blk.3.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.3.ffn_norm.weight 0 6144 1 1 1
blk.3.ffn_up_exps.weight 12 6144 2048 256 1
blk.3.ffn_up_shexp.weight 8 6144 2048 1 1
blk.3.indexer.attn_k.weight 8 6144 128 1 1
blk.3.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.3.indexer.k_norm.bias 0 128 1 1 1
blk.3.indexer.k_norm.weight 0 128 1 1 1
blk.3.indexer.proj.weight 0 6144 32 1 1
blk.4.attn_k_b.weight 8 192 512 64 1
blk.4.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.4.attn_kv_a_norm.weight 0 512 1 1 1
blk.4.attn_norm.weight 0 6144 1 1 1
blk.4.attn_output.weight 8 16384 6144 1 1
blk.4.attn_q_a.weight 8 6144 2048 1 1
blk.4.attn_q_a_norm.weight 0 2048 1 1 1
blk.4.attn_q_b.weight 8 2048 16384 1 1
blk.4.attn_v_b.weight 8 512 256 64 1
blk.4.exp_probs_b.bias 0 256 1 1 1
blk.4.ffn_down_exps.weight 13 2048 6144 256 1
blk.4.ffn_down_shexp.weight 8 2048 6144 1 1
blk.4.ffn_gate_exps.weight 12 6144 2048 256 1
blk.4.ffn_gate_inp.weight 0 6144 256 1 1
blk.4.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.4.ffn_norm.weight 0 6144 1 1 1
blk.4.ffn_up_exps.weight 12 6144 2048 256 1
blk.4.ffn_up_shexp.weight 8 6144 2048 1 1
blk.4.indexer.attn_k.weight 8 6144 128 1 1
blk.4.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.4.indexer.k_norm.bias 0 128 1 1 1
blk.4.indexer.k_norm.weight 0 128 1 1 1
blk.4.indexer.proj.weight 0 6144 32 1 1
blk.5.attn_k_b.weight 8 192 512 64 1
blk.5.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.5.attn_kv_a_norm.weight 0 512 1 1 1
blk.5.attn_norm.weight 0 6144 1 1 1
blk.5.attn_output.weight 8 16384 6144 1 1
blk.5.attn_q_a.weight 8 6144 2048 1 1
blk.5.attn_q_a_norm.weight 0 2048 1 1 1
blk.5.attn_q_b.weight 8 2048 16384 1 1
blk.5.attn_v_b.weight 8 512 256 64 1
blk.5.exp_probs_b.bias 0 256 1 1 1
blk.5.ffn_down_exps.weight 13 2048 6144 256 1
blk.5.ffn_down_shexp.weight 8 2048 6144 1 1
blk.5.ffn_gate_exps.weight 12 6144 2048 256 1
blk.5.ffn_gate_inp.weight 0 6144 256 1 1
blk.5.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.5.ffn_norm.weight 0 6144 1 1 1
blk.5.ffn_up_exps.weight 12 6144 2048 256 1
blk.5.ffn_up_shexp.weight 8 6144 2048 1 1
blk.5.indexer.attn_k.weight 8 6144 128 1 1
blk.5.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.5.indexer.k_norm.bias 0 128 1 1 1
blk.5.indexer.k_norm.weight 0 128 1 1 1
blk.5.indexer.proj.weight 0 6144 32 1 1
blk.6.attn_k_b.weight 8 192 512 64 1
blk.6.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.6.attn_kv_a_norm.weight 0 512 1 1 1
blk.6.attn_norm.weight 0 6144 1 1 1
blk.6.attn_output.weight 8 16384 6144 1 1
blk.6.attn_q_a.weight 8 6144 2048 1 1
blk.6.attn_q_a_norm.weight 0 2048 1 1 1
blk.6.attn_q_b.weight 8 2048 16384 1 1
blk.6.attn_v_b.weight 8 512 256 64 1
blk.6.exp_probs_b.bias 0 256 1 1 1
blk.6.ffn_down_exps.weight 13 2048 6144 256 1
blk.6.ffn_down_shexp.weight 8 2048 6144 1 1
blk.6.ffn_gate_exps.weight 12 6144 2048 256 1
blk.6.ffn_gate_inp.weight 0 6144 256 1 1
blk.6.ffn_gate_shexp.weight 8 6144 2048 1 1
blk.6.ffn_norm.weight 0 6144 1 1 1
blk.6.ffn_up_exps.weight 12 6144 2048 256 1
blk.6.ffn_up_shexp.weight 8 6144 2048 1 1
blk.6.indexer.attn_k.weight 8 6144 128 1 1
blk.6.indexer.attn_q_b.weight 8 2048 4096 1 1
blk.6.indexer.k_norm.bias 0 128 1 1 1
blk.6.indexer.k_norm.weight 0 128 1 1 1
blk.6.indexer.proj.weight 0 6144 32 1 1
blk.7.attn_k_b.weight 8 192 512 64 1
blk.7.attn_kv_a_mqa.weight 8 6144 576 1 1
blk.7.attn_kv_a_norm.weight 0 512 1 1 1
blk.7.attn_norm.weight 0 6144 1 1 1
blk.7.attn_output.weight 8 16384 6144 1 1
